¤u¼t¦WºÙ,¤u¼tµn°O½s¸¹,¤u¼t³]¥ß³\¥i®×¸¹,¤u¼t¦a§},¤u¼t¥«Âí¶m§ø¨½,¤u¼t­t³d¤H©m¦W,²Î¤@½s¸¹,¤u¼t²ÕÂ´«¬ºA,¤u¼t³]¥ß®Ö­ã¤é´Á,¤u¼tµn°O®Ö­ã¤é´Á,¤u¼tµn°Oª¬ºA,²£·~Ãþ§O,¥D­n²£«~
¤_ªY¾÷±ñ¦³­­¤½¥q,99720604,,»O¤¤¥««n¤Ù°Ï¤å¤s¨½ºë¬ì¤C¸ô16¸¹,»O¤¤¥««n¤Ù°Ï¤å¤s¨½,¿àÀAµØ,22961207,¦³­­¤½¥q,,980910,¥Í²£¤¤,30¨T¨®¤Î¨ä¹s¥ó»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,303¨T¨®¹s¥ó¡B312¾÷¨®¤Î¨ä¹s¥ó¡B293³q¥Î¾÷±ñ³]³Æ
º~¸Á¤u·~ªÑ¥÷¦³­­¤½¥q,99663758,8.01001E+12,°ª¶¯¥«¤¯ªZ°Ï«á¦w¨½«áÉÜ«Ñ¢¶¢±¤§¢±¸¹¢±¼Ó¡@,°ª¶¯¥«¤¯ªZ°Ï«á¦w¨½,¾G¤ëÀR,23958911,ªÑ¥÷¦³­­¤½¥q,800121,800208,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
¹dª@ª÷ÄÝ¤u·~¦³­­¤½¥q,99666680,,ªá½¬¿¤¦N¦w¶m¥_©÷§ø¦Û¥ß¸ô¢±¬q¢¶¢´«Ñ¢¶¢²¸¹,ªá½¬¿¤¦N¦w¶m¥_©÷§ø,§õ·Øèc,89522087,¦³­­¤½¥q,,831023,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó
«H©÷¹q¤l³³²¡ªÑ¥÷¦³­­¤½¥q®ç¶é¼t,99624149,7.71E+12,®ç¶é¥«Äª¦Ë°Ï¤º­í¨½«n¤s¸ô¤G¬q¤G¤G¢¯¤§¤@¸¹,®ç¶é¥«Äª¦Ë°Ï¤º­í¨½,µJ¦ö¿Å,23641338,ªÑ¥÷¦³­­¤½¥q,770901,780614,¥Í²£¤¤,23«Dª÷ÄÝÄqª«»s«~»s³y·~¡B26¹q¤l¹s²Õ¥ó»s³y·~,232­@¤õ¡BÂH¤g«Ø§÷¤Î¨ä¥L³³²¡»s«~¡B262³Q°Ê¹q¤l¤¸¥ó
ªF©°¥ø·~ªÑ¥÷¦³­­¤½¥q,66009368,,»O¤¤¥«¼æ¤l°Ï¤jÂ×¨½¼æ´I¸ô¤G¬q160«Ñ1¸¹3¼Ó,»O¤¤¥«¼æ¤l°Ï¤jÂ×¨½,Ã¹¬î­»,22491655,ªÑ¥÷¦³­­¤½¥q,,1100818,¥Í²£¤¤,33¨ä¥L»s³y·~,332ÂåÀø¾¹§÷¤Î¥Î«~
¤¯ÂE¸ê·½¦A¥Í¦³­­¤½¥q,67001011,,»O«n¥«¥Ã±d°Ï?¬w¨½ÆQ¦æ¸ô247¸¹,»O«n¥«¥Ã±d°Ï?¬w¨½,¤j¶ï¤¯§Ó,24492981,¦³­­¤½¥q,,1030926,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
¥¿²Î·NÄÑ§{¤u¼t,S6700245,,»O«n¥««n°Ï³ßªF¨½©ú¿³¸ô321«Ñ16¤§2¸¹,»O«n¥««n°Ï³ßªF¨½,ªL¤h«Û,73856185,¿W¸ê,,1090714,¥Í²£¤¤,08­¹«~»s³y·~¡B08­¹«~»s³y·~,089¨ä¥L­¹«~
¥°³Í¬ì§Þ¦³­­¤½¥q,99702162,,»O¤¤¥«ªF°ÏªFªù¨½¤Ñ¤Aµó37«Ñ2-1¸¹1¼Ó,»O¤¤¥«ªF°ÏªFªù¨½,¿à¬î¥Ð,27597973,¦³­­¤½¥q,,940420,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
«aµ¾¨Æ·~¦³­­¤½¥q,S6600888,,»O¤¤¥«¯«©£°ÏÉÜ«e¨½¯«ªL¸ô70«Ñ38-1¸¹,»O¤¤¥«¯«©£°ÏÉÜ«e¨½,ÁÂ°ê¦L,27390403,¦³­­¤½¥q,,1090817,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
·ç¸t¯à·½¬ì§Þ¦³­­¤½¥q¤u¼t,99644835,,»O¤¤¥«¨F³À°Ï³À®p¨½¬P½÷¸ô110«Ñ30¸¹,»O¤¤¥«¨F³À°Ï³À®p¨½,¨ô¬Ã·ç,80046400,¦³­­¤½¥q,,920716,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
²NÂ×¯È¾¹¦³­­¤½¥q,S6400612,,°ª¶¯¥«¤j¼d°Ï¦¿¤s¨½¦¿¤s¸ô18-28¸¹,°ª¶¯¥«¤j¼d°Ï¦¿¤s¨½,¬_³·¯],85967087,¦³­­¤½¥q,,1090916,¥Í²£¤¤,15¯È¼ß¡B¯È¤Î¯È»s«~»s³y·~,152¥Ë·«¯ÈªO¤Î¯È®e¾¹
¥x³q¥ú¹qªÑ¥÷¦³­­¤½¥qÄª¦Ë¼t,68003919,,®ç¶é¥«Äª¦Ë°Ï§|¤f¨½®ü´òªF¸ô292«Ñ41¸¹,®ç¶é¥«Äª¦Ë°Ï§|¤f¨½,§õ¼y·×,12362365,ªÑ¥÷¦³­­¤½¥q,,1100201,¥Í²£¤¤,28¹q¤O³]³Æ¤Î°t³Æ»s³y·~,283¹q½u¤Î°t½u¾¹§÷
³Ó½l´Q¦³­­¤½¥q,68003918,,®ç¶é¥«·s«Î°Ï²MµØ¨½¥_¶Õ12-15¸¹(1¼Ó),®ç¶é¥«·s«Î°Ï²MµØ¨½,ªLª÷©ô,80642131,¦³­­¤½¥q,,1100129,¥Í²£¤¤,11¯¼Â´·~¡B12¦¨¦ç¤ÎªA¹¢«~»s³y·~¡B33¨ä¥L»s³y·~,112Â´¥¬¡B115¯¼Â´«~¡B121¦¨¦ç¡B123ªA¹¢«~¡B339¥¼¤ÀÃþ¨ä¥L»s«~
»õ·ç¤u·~ªÑ¥÷¦³­­¤½¥q¿P±_¼t,99685415,8.11001E+12,°ª¶¯¥«¿P±_°Ï¾î¤s¨½¤j¤¯¸ô¢·¢²¸¹,°ª¶¯¥«¿P±_°Ï¾î¤s¨½,ªL©ú¶©,83449080,ªÑ¥÷¦³­­¤½¥q,811110,820312,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~¡B24°ò¥»ª÷ÄÝ»s³y·~,220¶ì½¦»s«~¡B241¿ûÅK
ÂEª@ª÷ÄÝ¦³­­¤½¥q,65009166,,·s¥_¥«¾ðªL°ÏªF¤s¨½ªF¶¶µó57«Ñ31¸¹(1¼Ó),·s¥_¥«¾ðªL°ÏªF¤s¨½,³\½ç¦À,28549606,¦³­­¤½¥q,,1100119,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
·çÒÀ¶ì½¦¦³­­¤½¥q,99657291,7.71001E+12,»O«n¥«¥Ã±d°Ï?¬w¨½°ê¸tµó167«Ñ26¸¹,»O«n¥«¥Ã±d°Ï?¬w¨½,¤ý·ç¬ü¡@¡@¡@,22961213,¦³­­¤½¥q,770730,780427,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
¾ì·zª÷ÄÝªÑ¥÷¦³­­¤½¥q,68003320,,®ç¶é¥«Äª¦Ë°Ïªø¿³¨½4¾F¦è·Ë¸ô367¸¹,®ç¶é¥«Äª¦Ë°Ïªø¿³¨½,§õª÷¤s,27670241,ªÑ¥÷¦³­­¤½¥q,,1090410,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
§eÔm¦³­­¤½¥q,68003321,,®ç¶é¥«¤j¶é°Ï¾î®p¨½¤ô·½¸ô905¸¹,®ç¶é¥«¤j¶é°Ï¾î®p¨½,ªL§Ó«Â,24759720,¦³­­¤½¥q,,1090409,¥Í²£¤¤,23«Dª÷ÄÝÄqª«»s«~»s³y·~,234¥Û§÷»s«~
«Û¨°¤u·~¦³­­¤½¥q,S6400071,,°ª¶¯¥«©£¤s°Ï¹Å¿³¨½«H¤¤µó379«Ñ18¸¹,°ª¶¯¥«©£¤s°Ï¹Å¿³¨½,³\¹Å­õ,12789880,¦³­­¤½¥q,,1090610,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
©ö®Ùºë±K¤u·~ªÑ¥÷¦³­­¤½¥q¤G¼t,S6600015,,»O¤¤¥«Â×­ì°ÏªFÙõ¨½4¾F¨¤¼æ¸ô¤G¬q169¸¹,»O¤¤¥«Â×­ì°ÏªFÙõ¨½,¾H³¯¥É½¬,16521195,ªÑ¥÷¦³­­¤½¥q,,1090427,¥Í²£¤¤,28¹q¤O³]³Æ¤Î°t³Æ»s³y·~,283¹q½u¤Î°t½u¾¹§÷
¤TÃs¤u·~¦³­­¤½¥q,99680073,,¹ü¤Æ¿¤³À´äÂíªF¥Û¨½Àô¤u¤E¸ô¢·¸¹,¹ü¤Æ¿¤³À´äÂíªF¥Û¨½,³¯Ãs½÷,27806129,¦³­­¤½¥q,,950524,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
´I©¨§N­á­¹«~¼tªÑ¥÷¦³­­¤½¥q,64000963,6664204234,°ª¶¯¥««eÂí°Ï©ú§µ¨½º®´ä«n¤@¸ô¢±¢°¸¹,°ª¶¯¥««eÂí°Ï©ú§µ¨½,§º­^©ú,22258051,ªÑ¥÷¦³­­¤½¥q,661212,661230,¥Í²£¤¤,08­¹«~»s³y·~,082¤ô²£¥[¤u¡B089¨ä¥L­¹«~
µ¾¶¶¥ø·~ªÀ,S0700384,,¹ü¤Æ¿¤³À´äÂí¶@¦w¨½§d­í«Ñ3¸¹,¹ü¤Æ¿¤³À´äÂí¶@¦w¨½,³\¶®´@,45803840,¿W¸ê,,1090528,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
§QªY¤ì·~¦³­­¤½¥q¤@¼t,S6800244,,®ç¶é¥«¤j¶é°Ï¤­Åv¨½¦X¦`¥_¸ô¤T¬q449¸¹,®ç¶é¥«¤j¶é°Ï¤­Åv¨½,³¯©~©÷,16279249,¦³­­¤½¥q,,1090527,¥Í²£¤¤,14¤ì¦Ë»s«~»s³y·~,140¤ì¦Ë»s«~
¼w©[¹ê·~ªÑ¥÷¦³­­¤½¥q,S0700385,,¹ü¤Æ¿¤¤j§ø¶m¤j¾ô§ø¼y¦w¸ô51¸¹,¹ü¤Æ¿¤¤j§ø¶m¤j¾ô§ø,¿à·R¶²,86990240,ªÑ¥÷¦³­­¤½¥q,,1090805,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
¤é§Q¬â½üªÑ¥÷¦³­­¤½¥q,99726099,,·s¥_¥«²H¤ô°Ï¸q¤s¨½¤U¦c¬X¤s70¤§6¸¹,·s¥_¥«²H¤ô°Ï¸q¤s¨½,³¯ªä½Ë,27661019,ªÑ¥÷¦³­­¤½¥q,,990923,¥Í²£¤¤,23«Dª÷ÄÝÄqª«»s«~»s³y·~,234¥Û§÷»s«~¡B232­@¤õ¡BÂH¤g«Ø§÷¤Î¨ä¥L³³²¡»s«~¡B239¨ä¥L«Dª÷ÄÝÄqª«»s«~
¤¸§ø¾÷±ñ¦³­­¤½¥q¤G¼t,S0700399,,¹ü¤Æ¿¤¤j§ø¶m«n¶Õ§ø¤¤¥¿¦è¸ô323«Ñ37¸¹,¹ü¤Æ¿¤¤j§ø¶m«n¶Õ§ø,¿à©w¬W,84982300,¦³­­¤½¥q,,1090528,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,292¨ä¥L±M¥Î¾÷±ñ³]³Æ
±]·½Âo§÷¬ì§ÞªÑ¥÷¦³­­¤½¥q,8000089,,«n§ë¿¤¯ó¤ÙÂí±s¥v¨½¤¤¥¿¸ôÅv­¦«Ñ9¸¹,«n§ë¿¤¯ó¤ÙÂí±s¥v¨½,¹ù½Ë©¾,53305678,ªÑ¥÷¦³­­¤½¥q,,1020619,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,220¶ì½¦»s«~¡B293³q¥Î¾÷±ñ³]³Æ
ªF¶©¤Z¦Ó¥ø·~¦³­­¤½¥q,99627354,7.91E+12,®ç¶é¥«¤j¶é°Ï·Ë®ü¨½©M¥­¦è¸ô¤@¬q42¸¹,®ç¶é¥«¤j¶é°Ï·Ë®ü¨½,ªL·Ë¤t¡@¡@¡@,31158286,¦³­­¤½¥q,790719,790810,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
¤é­p¤u·~ªÑ¥÷¦³­­¤½¥q©y¬ì¼t,95A01179,,·s¦Ë¬ì¾Ç¶é°Ï©yÄõ¿¤©yÄõ¥««Ø·~¨½4¾F©y¬ì«n¸ô5¸¹,©yÄõ¿¤©yÄõ¥««Ø·~¨½,ªLº~¤t,27547952,ªÑ¥÷¦³­­¤½¥q,,1091124,¥Í²£¤¤,27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~,275¶q´ú¡B¾É¯è¡B±±¨î³]³Æ¤ÎÄÁ¿ö
§e­Z¹q¤lªÑ¥÷¦³­­¤½¥q,99628526,,®ç¶é¥«Äª¦Ë°ÏÄª¦Ë¨½Äª¿³µó49¸¹1¼Ó,®ç¶é¥«Äª¦Ë°ÏÄª¦Ë¨½,Ã¹¬ü¨q,70680395,ªÑ¥÷¦³­­¤½¥q,,920103,¥Í²£¤¤,26¹q¤l¹s²Õ¥ó»s³y·~,263¦L¨ê¹q¸ôªO
ªl³£¤ÆùÛ«~ªÑ¥÷¦³­­¤½¥q,67002565,,»O«n¥«¦w«n°Ï?¥Ð¨½¤u·~¤T¸ô2¸¹,»O«n¥«¦w«n°Ï?¥Ð¨½,ªL·s®i,27857858,ªÑ¥÷¦³­­¤½¥q,,1081203,¥Í²£¤¤,19¨ä¥L¤Æ¾Ç»s«~»s³y·~,193²M¼ä¥Î«~¤Î¤ÆùÛ«~
°·¥þ°ê»Ú¨Æ·~¦³­­¤½¥q,68003994,,®ç¶é¥«Àt¤s°Ï¨ß§|¨½¯ù±M¤Gµó92«Ñ17¸¹3¼Ó,®ç¶é¥«Àt¤s°Ï¨ß§|¨½,³¯«º§u,14005694,¦³­­¤½¥q,,1100324,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
ºa°¥ºë±K¤u·~ªÑ¥÷¦³­­¤½¥q,94A00510,,°ª¶¯¥«¸ô¦Ë°Ï¥_À­¨½¸ô¬ì¤T¸ô2¤§2¸¹,°ª¶¯¥«¸ô¦Ë°Ï,Ä¬ÉÜ¤T,86909473,ªÑ¥÷¦³­­¤½¥q,,1100331,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
¤»©M¾ó½¦¤u·~ªÑ¥÷¦³­­¤½¥q,99646659,5.81E+12,¹ü¤Æ¿¤©M¬üÂí¤ë¬Ü¨½©M´ä¸ô¢°¬q¢±¸¹,¹ü¤Æ¿¤©M¬üÂí¤ë¬Ü¨½,¼B¬v§»¡@,58057727,ªÑ¥÷¦³­­¤½¥q,590109,590601,¥Í²£¤¤,21¾ó½¦»s«~»s³y·~,210¾ó½¦»s«~
¤¤µØ°_­«¾÷±ñ¦³­­¤½¥q¤¤Ãc¼t,99722642,,®ç¶é¥«¤¤Ãc°Ï¤sªF¨½4¾F¤sªF¸ô157«Ñ88¸¹,®ç¶é¥«¤¤Ãc°Ï¤sªF¨½,§d¿³¶Q,97290259,¦³­­¤½¥q,,990909,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
¹ÅÂ×¾÷±ñ¤uµ{¦³­­¤½¥q¤@¼t,9000849,,¶³ªL¿¤¤G±[¶mªo¨®§ø¤s¤lªù¸ô9-7¸¹,¶³ªL¿¤¤G±[¶mªo¨®§ø,³\­õ¹Å,91058677,¦³­­¤½¥q,,1080304,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
©ÓøÊÂo§÷¦³­­¤½¥q¤¤ºa¼t,67003008,,»O«n¥«¦w©w°Ï¤¤ºa¨½¤¤Àç12¤§3¸¹A°Ï,»O«n¥«¦w©w°Ï¤¤ºa¨½,Ò\­^»¨,24908926,¦³­­¤½¥q,,1100524,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
´ºÂE¹q¤lªÑ¥÷¦³­­¤½¥q,3000638,,®ç¶é¥«¤¤Ãc°Ï¤º©w¨½·s¥_¶é¸ô2¸¹¡]1¼Ó¡^,®ç¶é¥«¤¤Ãc°Ï¤º©w¨½,§d±X¥Í,53273752,ªÑ¥÷¦³­­¤½¥q,,1000909,¥Í²£¤¤,26¹q¤l¹s²Õ¥ó»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~,263¦L¨ê¹q¸ôªO¡B254ª÷ÄÝ¥[¤u³B²z
¤d¬Õ¾÷±ñ¦³­­¤½¥q,7004359,,¹ü¤Æ¿¤¨q¤ô¶m°¢¦è§ø¤ô§À«Ñ21¤§2¸¹1¼Ó,¹ü¤Æ¿¤¨q¤ô¶m°¢¦è§ø,¿à«H¥ò,53305585,¦³­­¤½¥q,,1100714,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
«Â²±¹q¤lªÑ¥÷¦³­­¤½¥q,99619407,8.41E+12,·s¥_¥«·s©±°Ï¦¿³®¨½¤¤¥¿¸ô525¸¹3¡B8¡B9¼Ó¡B525¤§1¸¹¡B3¡B7¡B8¼Ó¡B527¸¹3¡B8¡B10¼Ó¡B529¸¹8¼Ó¡B529¤§1¸¹8¼Ó¡B531¸¹4¡B9¼Ó¡B531¤§1¸¹4¡B7¡B8¼Ó¡B535¸¹2¡B3¡B8¼Ó¡B533¸¹3¡B4¡B8¼Ó,·s¥_¥«·s©±°Ï¦¿³®¨½,³¯¤åµa,86870786,ªÑ¥÷¦³­­¤½¥q,840427,851224,¥Í²£¤¤,27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~¡B26¹q¤l¹s²Õ¥ó»s³y·~,271¹q¸£¤Î¨ä¶gÃä³]³Æ¡B272³q°T¶Ç¼½³]³Æ¡B269¨ä¥L¹q¤l¹s²Õ¥ó
¦W²±¥ø·~ªÀ,S6400087,,°ª¶¯¥«©£¤s°Ï¹Å¿³¨½«H¤¤µó461-6¸¹,°ª¶¯¥«©£¤s°Ï¹Å¿³¨½,®]°¶µ¾,7930466,¿W¸ê,,1090616,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
¤E´­¥ø·~¦æ,66009286,,»O¤¤¥«¤Ó¥­°Ï¤Ó¥­¨½¥Ã¥­¸ô¤T¬q82¸¹1¼Ó,»O¤¤¥«¤Ó¥­°Ï¤Ó¥­¨½,ÅU¯À¯u,40128307,¿W¸ê,,1100712,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ
¤TÃ­¥ø·~ªÑ¥÷¦³­­¤½¥q,99611159,6.81E+12,·s¥_¥«Åaºq°Ï¤G¥Ò¨½¥Ò¤Gµó36¸¹,·s¥_¥«Åaºq°Ï¤G¥Ò¨½,¹ù»Ê¬w,34279968,ªÑ¥÷¦³­­¤½¥q,580101,690228,¥Í²£¤¤,30¨T¨®¤Î¨ä¹s¥ó»s³y·~,303¨T¨®¹s¥ó
¥xÆW¤Æ¾ÇÅÖºûªÑ¥÷¦³­­¤½¥q·s´ä¼t,99655041,7.61E+12,¹Å¸q¿¤·s´ä¶m¤¤¬v§ø¤¤¬v¤u·~°Ï¢°¸¹,¹Å¸q¿¤·s´ä¶m¤¤¬v§ø,§õ«Cªâ,84309636,ªÑ¥÷¦³­­¤½¥q,760410,771207,¥Í²£¤¤,11¯¼Â´·~¡B15¯È¼ß¡B¯È¤Î¯È»s«~»s³y·~¡B18¤Æ¾Ç§÷®Æ¤ÎªÎ®Æ»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,111¯¼¯½¡B112Â´¥¬¡B152¥Ë·«¯ÈªO¤Î¯È®e¾¹¡B185¤H³yÅÖºû¡B184¶ì½¦¤Î¦X¦¨¾ó½¦­ì®Æ¡B292¨ä¥L±M¥Î¾÷±ñ³]³Æ
¥xÆWÄ_²z¶ì½¦ªÑ¥÷¦³­­¤½¥q¤jµo¤G¼t,99661420,8.91E+12,°ª¶¯¥«¤j¼d°Ï¼é¼d¨½«Ø·~¸ô13-1¸¹,°ª¶¯¥«¤j¼d°Ï¼é¼d¨½,ÁÂ?§»,22853994,ªÑ¥÷¦³­­¤½¥q,890201,890328,¥Í²£¤¤,18¤Æ¾Ç§÷®Æ¤ÎªÎ®Æ»s³y·~,184¶ì½¦¤Î¦X¦¨¾ó½¦­ì®Æ
¤s®ü©ú¥Ã·~¦³­­¤½¥q,3000241,,®ç¶é¥«·¨±ö°Ï«C¤s¨½·à¤@¸ô10¸¹,®ç¶é¥«·¨±ö°Ï«C¤s¨½,¿à®xÄP,24473485,¦³­­¤½¥q,,1000131,¥Í²£¤¤,08­¹«~»s³y·~¡B09¶¼®Æ»s³y·~,089¨ä¥L­¹«~¡B091°sºë¶¼®Æ¡B092«D°sºë¶¼®Æ
ÂE¿n¬ì¾÷ªÑ¥÷¦³­­¤½¥q,99668307,7.71002E+12,·s¦Ë¥«­»¤s°ÏªF­»¨½·s¦Ë¥«ªF­»¨½ªF­»¸ô¤@¬q¤@¤@¤­«Ñ¤»¤T¸¹,·s¦Ë¥«­»¤s°ÏªF­»¨½,¿½¶iºÖ¡@¡@¡@,22934997,ªÑ¥÷¦³­­¤½¥q,770408,770617,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ¡B293³q¥Î¾÷±ñ³]³Æ¡B292¨ä¥L±M¥Î¾÷±ñ³]³Æ
¦N«³¼Æ±±ÀJ¨è¦³­­¤½¥q,66009181,,»O¤¤¥«¤j¨½°Ï¤j¤¸¨½°ê¤¤¤@¸ô25«Ñ10¸¹1¼Ó,»O¤¤¥«¤j¨½°Ï¤j¤¸¨½,ªLªZ¦N,54580949,¦³­­¤½¥q,,1100604,¥Í²£¤¤,14¤ì¦Ë»s«~»s³y·~,140¤ì¦Ë»s«~
¬R¶§¤u·~ªÑ¥÷¦³­­¤½¥q¤G¼t,7004111,,¹ü¤Æ¿¤³À´äÂí®ü®H¨½³À·s¸ô6¸¹,¹ü¤Æ¿¤³À´äÂí®ü®H¨½,±ç¬è¶¯,53166009,ªÑ¥÷¦³­­¤½¥q,,1100224,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
¸q¬ü­¹«~ªÑ¥÷¦³­­¤½¥qÀs¼æ¼t,99621474,6.41E+12,®ç¶é¥«Às¼æ°Ï¤EÀs¨½¤¤¿³¸ô¤EÀs¬q129«Ñ91¸¹¡B®ç¶é¥«¥­Âí°ÏªF¶Õ¨½ªF¶Õ3¤§2¸¹¡B®ç¶é¥«¥­Âí°ÏªF¶Õ¨½¤¤¿³¸ô¤EÀs¬q155¸¹,®ç¶é¥«Às¼æ°Ï¤EÀs¨½,°ª§Ó©ú¡@¡@¡@,11768704,ªÑ¥÷¦³­­¤½¥q,640605,650224,¥Í²£¤¤,08­¹«~»s³y·~,083½­ªG¥[¤u¡B084°Ê´Óª«ªo¯×¡B089¨ä¥L­¹«~
¹F¿o¶ì½¦ªÑ¥÷¦³­­¤½¥q,99706583,,®ç¶é¥«·¨±ö°Ï°ª¤s¨½°ª·à¸ô¢·¢µ¢²«Ñ¢²¢µ¸¹,®ç¶é¥«·¨±ö°Ï°ª¤s¨½,§õ¦w­«,86096285,ªÑ¥÷¦³­­¤½¥q,,950911,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
±¶Ápºë±K¦³­­¤½¥q,7004080,,¹ü¤Æ¿¤ªÀÀY¶m¨ó©M§ø¤s¸}¸ô¥|¬q222«Ñ31¸¹1¼Ó,¹ü¤Æ¿¤ªÀÀY¶m¨ó©M§ø,¼B¼z±m,25162353,¦³­­¤½¥q,,1100128,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ
©M°Oª÷ÄÝ¦³­­¤½¥q¤G¼t,7004082,,¹ü¤Æ¿¤¹ü¤Æ¥«·s¿³¨½Ãã­×¥_¸ô134«Ñ35¸¹1¼Ó,¹ü¤Æ¿¤¹ü¤Æ¥«·s¿³¨½,³¢­³¨},53833880,¦³­­¤½¥q,,1100128,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ
¥x¬M¥ø·~ªÀ,65003877,,·s¥_¥«¤­ªÑ°Ï¿³¬Ã¨½¤¤¿³¸ô1¬q8¸¹9¼Ó¤§11,·s¥_¥«¤­ªÑ°Ï¿³¬Ã¨½,§õºÖ°ó,20283033,¦X¹Ù,,1040309,¥Í²£¤¤,16¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s·~,160¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s
©|¦X¬t¯À¦³­­¤½¥q¤G¼t,3001295,,®ç¶é¥«¥­Âí°ÏªF¶Õ¨½10¾FªFÀsµó611«Ñ20¸¹,®ç¶é¥«¥­Âí°ÏªF¶Õ¨½,¶À¦Ë§g,86580822,¦³­­¤½¥q,,1010912,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
¦XÂEÁë³y¼Ò¦³­­¤½¥q¤j¨½¼t,S6601686,,»O¤¤¥«¤j¨½°Ï¤¯¤Æ¨½¤¯¬ü¸ô99¸¹,»O¤¤¥«¤j¨½°Ï¤¯¤Æ¨½,¤ý¬±«Û,22110488,¦³­­¤½¥q,,1100128,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã
